Service description,Service ID,Cost ($),Savings programs ($),Other savings ($),Unrounded subtotal ($),Subtotal ($),Percent change in subtotal compared to previous period
App Engine,F17B-412E-CB64,10336.52,0.00,0.00,10336.515496,10336.52,-42%
Cloud Run Functions,29E7-DA93-CA13,12.68,0.00,-5.22,7.463397,7.46,-100%
Artifact Registry,149C-F9EC-3994,1.92,0.00,0.00,1.916223,1.92,-7%
Cloud Scheduler,1F14-4801-0E16,0.96,0.00,0.00,0.961279,0.96,0%
Secret Manager,EE82-7A5E-871C,0.42,0.00,0.00,0.419481,0.42,91%
Cloud Storage,95FF-2EF5-5EA1,0.01,0.00,0.00,0.006181,0.01,0%
Cloud Pub/Sub,A1E8-BE35-7EBC,0.00,0.00,0.00,0.000001,0.00,-100%
,,,,Subtotal,10347.282058,10347.28
,,,,Tax,0.000000,0.00
,,,,Total,10347.282058,10347.28
